Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,697
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,692
accession_origin=Australia,131
accession_origin=Benin,85
accession_origin=Botswana,296
accession_origin=Burkina_Faso,608
accession_origin=Burundi,65
accession_origin=Cameroon,55
accession_origin=China,396
accession_origin=Egypt,481
accession_origin=Ethiopia,659
accession_origin=Former_Serbia_and_Montenegro,23
accession_origin=Former_Soviet_Union,166
accession_origin=Ghana,441
accession_origin=Hungary,268
accession_origin=India,213
accession_origin=Japan,254
accession_origin=Kenya,665
accession_origin=Malawi,602
accession_origin=Mali,529
accession_origin=Mexico,398
accession_origin=Nigeria,686
accession_origin=Rwanda,64
accession_origin=Senegal,534
accession_origin=South_Africa,385
accession_origin=Sudan,647
accession_origin=Swaziland,348
accession_origin=Syria,59
accession_origin=Tanzania,522
accession_origin=Togo,644
accession_origin=Turkey,311
accession_origin=Uganda,670
accession_origin=United_States,543
accession_origin=Yemen,409
accession_origin=Zaire,330
accession_origin=Zambia,441
accession_origin=Zimbabwe,600
accession_photoperiod=,677
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,692
accession_race=Bicolor,466
accession_race=Caudatum,658
accession_race=Caudatum-bicolor,567
accession_race=Durra,682
accession_race=Durra-bicolor,429
accession_race=Durra-caudatum,343
accession_race=Guinea,698
accession_race=Guinea-bicolor,277
accession_race=Guinea-caudatum,633
accession_race=Guinea-durra,39
accession_race=Guinea-kafir,65
accession_race=Kafir,539
accession_race=Kafir-bicolor,286
accession_race=Kafir-caudatum,435
accession_race=Kafir-durra,254
accession_race=Mixed,442
accession_type=,698
accession_type=Cellulosic,698
accession_type=GRAIN,639
accession_type=Sweet,698
abs.Lignin,0
