Mean,Variance,InboundsScore
4.883491,0.609081,0.919355
5.218150,0.701320,0.946396
5.079321,0.240163,0.973716
5.228928,0.583215,0.935702
5.142605,0.603044,0.880995
5.003083,0.323160,0.995272
5.104134,0.528872,0.973574
5.115338,0.378675,0.977143
5.531454,0.318948,0.960177
4.892529,0.620511,0.944043
5.178172,0.433106,0.938525
5.319117,0.447068,0.954155
4.911192,0.370836,0.993326
5.024485,0.591331,0.955617
5.049117,0.666443,0.897482
5.387821,0.307579,0.985444
5.026829,0.459867,0.949848
5.435110,0.399997,0.978780
4.989699,0.237704,0.990708
5.064718,0.431553,0.953548
5.327628,0.391255,0.933579
4.788538,0.486827,0.926518
4.874122,0.684387,0.957143
5.229560,0.416791,0.951743
5.194733,0.302737,0.963190
5.012239,0.543576,0.909390
6.396075,0.103395,0.936543
5.178412,0.586045,0.935967
5.194935,0.368179,0.941253
4.915069,0.323898,0.973105
5.282884,0.686506,0.960916
5.074255,0.446260,0.983294
5.142108,0.391156,0.943644
6.436213,0.320656,0.835322
5.075428,0.198437,0.983683
5.205768,0.176660,0.987150
5.306567,0.251053,0.970930
5.279319,0.272252,0.982609
4.931509,0.191716,0.995261
5.085962,0.164161,0.974910
5.297118,0.495121,0.953808
5.105334,0.359939,0.984185
5.113522,0.437415,0.974963
5.426069,0.314285,0.968672
5.111346,0.228474,0.995501
5.000463,0.255788,0.978882
5.172215,0.213551,0.995092
5.156312,0.315143,0.975980
5.141926,0.197321,0.957419
6.187871,0.183560,0.963043
5.068058,0.276272,0.978182
5.228724,0.385811,0.979810
5.237767,0.289710,0.973068
4.978498,0.643747,0.952564
5.123256,0.412515,0.933775
5.011979,0.390071,0.952806
5.168328,0.364379,0.969697
5.203777,0.332110,0.941176
5.067532,0.195686,0.991061
4.849240,0.222127,0.986223
5.504745,0.560971,0.967033
4.959244,0.219180,0.968825
5.139419,0.227071,0.937122
5.238837,0.300499,0.970623
5.255585,0.409507,0.956151
5.122205,0.210299,0.993197
5.910813,0.452204,0.656604
5.130930,0.284265,0.990868
5.033965,0.350600,0.980464
5.252440,0.246984,0.984670
5.249689,0.159777,0.989298
5.372144,0.330220,0.940317
5.513441,0.348422,0.895213
4.969629,0.209787,0.991908
5.008077,0.150644,0.993220
5.147271,0.488308,0.948254
5.153274,0.186666,0.984848
