Input labels:, Anthesis date (days), Harvest date (days), Total fresh weight (kg), Brix (maturity), Brix (milk), Stalk height (cm)


random forests
output_label,num_samples,r2_score
adf,363,0.605754632599
ndf,363,0.605353540557
nfc,363,0.584901883249
lignin,361,0.57156718604
c6,361,0.590714588734
c5,363,0.522694542706


boosted trees
output_label,num_samples,r2_score
adf,363,0.632742238046
ndf,363,0.639236914088
nfc,363,0.575669039168
lignin,361,0.607592262015
c6,361,0.644213669249
c5,363,0.524322475743
