INPUTS,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,SF16h_HGT_120_MEAN,SF16h_HGT_120_STD,SF16h_PAN_120_MEAN,SF16h_PAN_120_STD,accession_photoperiod,accession_type,accession_origin,accession_race
output_label,num_samples,random_forest
ADF,698,0.486082948468
AD_ICP,698,0.399716488247
Adj_CP,698,0.720657543468
Ash,698,0.0968507666061
Cellulose,698,0.493596207145
Crude_protein,698,0.672336250558
DCAD,698,0.11402358082
Dry_Matter,698,0.231136969211
EE_Fat,698,0.56983025775
Hemicellulose,698,0.290639532584
Lignin,698,0.447712453491
NEG_OARDC,698,0.493968460265
NEL3x_ADF,698,0.21502311273
NEL3x_OARDC,698,0.46150605636
NEM_OARDC,698,0.468796120634
NFC,698,0.57465085093
SPCP,698,0.543643102296
Starch,698,0.22075443625
TDN_OARDC,698,0.282260691656
WSC_Sugar,698,0.592273892113
aNDFom,698,0.508618276614


input_label,mean_importance,std_importance
2016_07_13-14_Leaf_Necrosis,0.0220747846007,0.0224701639593
2016_07_13-14_vegetation_index,0.0185839777192,0.0202163050911
2016_07_13_BAP_Leaf_Area,0.0223831591481,0.0240075447836
2016_07_13_laser_plant_height,0.0328414841382,0.0336824272637
2016_07_light_interception,0.0158769199118,0.0192046764389
2016_08_05-08_vegetation_index,0.0212521292557,0.0223779774169
2016_08_light_interception,0.0156157214107,0.0179069480807
2016_09_light_interception,0.0292618663277,0.0335689223949
SF16h_HGT1_120,0.0715258921774,0.0962180577777
SF16h_HGT2_120,0.0713081186101,0.0967186659705
SF16h_HGT3_120,0.0679825335678,0.0926028695537
SF16h_HGT_120_MEAN,0.0763989892412,0.101685933158
SF16h_HGT_120_STD,0.0268586947804,0.0265368231522
SF16h_PAN1_120,0.0345209800802,0.067615462243
SF16h_PAN2_120,0.0320191750298,0.0644992335601
SF16h_PAN3_120,0.0336371218367,0.0656674376376
SF16h_PAN_120_MEAN,0.0364158978009,0.0673196915318
SF16h_PAN_120_STD,0.0205123597493,0.0484418052862
SF16h_TWT_120,0.0514949989792,0.0556794591996
SF16h_WTL_120,0.0555857970801,0.0598498541222
SF16h_WTP_120,0.0529201723032,0.0904242135769
accession_origin,0.0473762762452,0.0362003270399
accession_photoperiod,0.057355647683,0.0861124693227
accession_race,0.0244027913174,0.0247686157
accession_type,0.0617945110059,0.0841472938491
