


2014,dataset
output_label,AdaBoostRegressor,BaggingRegressor,DecisionTreeRegressor,ExtraTreeRegressor,ExtraTreesRegressor,GradientBoostingRegressor,HuberRegressor,KNeighborsRegressor,KernelRidge,LinearRegression,LinearSVR,MLPRegressor,NuSVR,PLSRegression,PassiveAggressiveRegressor,RANSACRegressor,RandomForestRegressor,SGDRegressor,SVR,random_forest_0,random_forest_1,random_forest_2,random_forest_3,random_forest_4,random_forest_5,random_forest_6,random_forest_7,random_forest_8,random_forest_9
adf,0.565782333185,0.574145954675,0.40881885067,0.280523111877,0.620924327381,0.613134305089,0.605449807142,0.534442938905,0.616352718719,0.617652877406,-0.757458483806,-4636.36089328,0.0607725409482,0.355434777401,-5.04375613747,0.569644063813,0.580564475476,-1.05001338845e+30,-0.00325629212531,0.653987062536,0.668286857271,0.663153650696,0.658313395427,0.655079911507,0.668536627823,0.666985812325,0.640460077895,0.663763613514,0.653947460597
c5,0.434025074719,0.480237626795,0.264325519839,0.217642106232,0.456364393546,0.510072477033,0.527473221429,0.366839340832,0.538120439022,0.537848493221,0.0164106664257,-44161.9648437,0.0487287912027,0.354451722402,-3.76768419288,0.405379508827,0.487538025574,-5.52277819959e+30,-0.686018138516,0.545071097308,0.586920418608,0.576172414618,0.56927193871,0.564998358822,0.577732139891,0.576380050205,0.574685263339,0.574129275547,0.575436130005
c6,0.546603572007,0.642169576808,0.297959434208,0.293905670106,0.578633865337,0.62520117772,0.616457042147,0.525334782435,0.625926931114,0.628166024441,-0.233369197424,-7916.65299244,0.0411378873804,0.357876292871,-1.07639683437,0.57172543376,0.633422446154,-5.38713054221e+29,-0.0427565181198,0.67108455145,0.6635613062,0.661869190259,0.661194384528,0.654711477768,0.676631424904,0.670229713,0.646209331029,0.666509304033,0.660581078953
lignin,0.520883427064,0.584406180187,0.325000136332,0.394251752549,0.507842159724,0.589505621768,0.592044042924,0.542290972714,0.603573023231,0.603984202822,0.174750386169,-186947.930182,0.0533292845006,0.330686084752,0.27444194868,0.539909520341,0.584215217343,-5.21400880231e+31,-3.42033540398,0.637875099971,0.639640742471,0.652991756092,0.641033147724,0.634304385433,0.647772270223,0.643145200951,0.634924946867,0.634329553513,0.634479840018
ndf,0.556147514977,0.600842519051,0.402107679559,0.287295290473,0.583658701844,0.610178035353,0.61235004275,0.514224342679,0.620195551912,0.619783346239,-0.118269454156,-1666.62237852,0.0609155122463,0.374299369188,-4.68717741864,0.515100874579,0.59508757114,-6.90434934513e+29,0.0383390785151,0.648056167792,0.67379804774,0.666102173607,0.65897505292,0.660579038155,0.671914906384,0.668180062405,0.65694599089,0.670776055965,0.666931452886
nfc,0.481111083921,0.529191489161,0.250430814829,0.266034615131,0.560162534555,0.544697914237,0.597022087169,0.342917190597,0.582133785005,0.602821860031,-0.0657542918862,-10780.2875376,0.078789348298,0.36044307682,-1.75599607207,0.533633807933,0.533127121555,-1.59783694613e+30,-0.160682028531,0.603306637279,0.620624187172,0.621190657909,0.601592897796,0.611672518818,0.614413001865,0.604394668423,0.619052401259,0.611165670759,0.616334872272



2014.noAugmentMissing,dataset
output_label,AdaBoostRegressor,BaggingRegressor,DecisionTreeRegressor,ExtraTreeRegressor,ExtraTreesRegressor,GradientBoostingRegressor,HuberRegressor,KNeighborsRegressor,KernelRidge,LinearRegression,LinearSVR,MLPRegressor,NuSVR,PLSRegression,PassiveAggressiveRegressor,RANSACRegressor,RandomForestRegressor,SGDRegressor,SVR,random_forest_0,random_forest_1,random_forest_2,random_forest_3,random_forest_4,random_forest_5,random_forest_6,random_forest_7,random_forest_8,random_forest_9
adf,0.549641269929,0.554074969412,0.318049807133,0.347720109054,0.554662131076,0.578201785124,0.598067715313,0.492942230266,0.603419678045,0.60169421581,0.351022612735,-7601.64206386,0.0662756047476,0.361597507492,-0.302185527086,0.55951242548,0.566230175462,-6.50239490387e+29,-0.0840934726402,0.63271919663,0.653091744388,0.64982982182,0.645851059816,0.64079866696,0.647170235255,0.648606481678,0.645703864895,0.654165153901,0.654042246105
c5,0.473981362826,0.484405056124,0.33485151551,0.204217331264,0.421902224488,0.486132925418,0.519525435461,0.317503240904,0.523370693393,0.526299386045,-4.36456782795,-30612.6771685,0.0566291314861,0.348203273174,-0.694682057695,0.420092364933,0.469120032935,-5.05245382167e+30,-0.844807485759,0.538489827367,0.562467173634,0.56018114583,0.549191696114,0.555429576325,0.559603991235,0.548547366646,0.562818337392,0.555399692114,0.554359687039
c6,0.542781733051,0.598819764928,0.348870867197,0.198404835223,0.584625905731,0.606600777248,0.602769795649,0.49273118882,0.606999390189,0.602858919233,0.000524995329224,-19595.6709452,0.0631976756052,0.368738422392,-0.34151832227,0.578949630658,0.58717119933,-3.06653363073e+30,-0.147430352565,0.643699732931,0.645383558814,0.644525797939,0.648735521307,0.638195723759,0.65675929941,0.646668620867,0.639821232353,0.648123642161,0.645297676686
lignin,0.502067938738,0.556743809057,0.275569704664,0.316152846605,0.595594963584,0.551060502684,0.577844516118,0.505838833438,0.582223690504,0.57942099816,-0.278378568836,-400926.036232,0.0786160104962,0.338622350741,0.26752698347,0.515206805111,0.559544357205,-3.79010317374e+31,-3.42033540398,0.625310708975,0.626410044955,0.631951310025,0.62813167346,0.605447067285,0.641167830838,0.624303031429,0.612882495196,0.620257134078,0.614569564147
ndf,0.52831075132,0.553205120086,0.320875558436,0.306582977903,0.544024454382,0.570121744845,0.603752888459,0.467228025102,0.60584925601,0.604564217055,0.195786553002,-6533.35590438,0.0662420107914,0.375948305803,-0.0987770366092,0.548502690972,0.566158321216,-9.11984520874e+29,-0.0205788208833,0.627762456152,0.654830507185,0.647583214908,0.651770895319,0.639474598889,0.648321784285,0.647974079574,0.637786862076,0.652984485965,0.655605000754
