2016,dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_label,random_forest_0,random_forest_1,random_forest_10,random_forest_11,random_forest_12,random_forest_13,random_forest_14,random_forest_15,random_forest_16,random_forest_17,random_forest_18,random_forest_19,random_forest_2,random_forest_20,random_forest_21,random_forest_22,random_forest_23,random_forest_24,random_forest_25,random_forest_26,random_forest_27,random_forest_28,random_forest_29,random_forest_3,random_forest_30,random_forest_31,random_forest_32,random_forest_33,random_forest_34,random_forest_35,random_forest_36,random_forest_37,random_forest_38,random_forest_39,random_forest_4,random_forest_40,random_forest_41,random_forest_42,random_forest_43,random_forest_44,random_forest_45,random_forest_46,random_forest_47,random_forest_48,random_forest_49,random_forest_5,random_forest_50,random_forest_51,random_forest_52,random_forest_53,random_forest_54,random_forest_55,random_forest_56,random_forest_57,random_forest_58,random_forest_59,random_forest_6,random_forest_60,random_forest_61,random_forest_62,random_forest_63,random_forest_64,random_forest_65,random_forest_66,random_forest_67,random_forest_68,random_forest_69,random_forest_7,random_forest_70,random_forest_71,random_forest_72,random_forest_73,random_forest_74,random_forest_75,random_forest_76,random_forest_77,random_forest_78,random_forest_79,random_forest_8,random_forest_80,random_forest_81,random_forest_82,random_forest_83,random_forest_84,random_forest_85,random_forest_86,random_forest_87,random_forest_88,random_forest_89,random_forest_9,random_forest_90,random_forest_91,random_forest_92,random_forest_93,random_forest_94,random_forest_95,random_forest_96,random_forest_97,random_forest_98,random_forest_99
ADF,0.5089140448,0.4988516053,0.5015146621,0.5032752307,0.4938982091,0.493459346,0.4976048294,0.4950234427,0.5023997594,0.5127752538,0.5106227774,0.5134571521,0.504209578,0.4997241341,0.4944444904,0.5020862733,0.5049350386,0.5076696118,0.5139150198,0.506461438,0.4953091005,0.5087182466,0.5107438129,0.5027010366,0.5125902176,0.501928868,0.495733277,0.5030178403,0.508089705,0.5012730562,0.4983242345,0.4954839135,0.5045125572,0.5095812963,0.4953051814,0.5063165209,0.5148213548,0.5113616311,0.5094485108,0.5084015815,0.4998713564,0.5107923408,0.5003693174,0.5065876616,0.4989405924,0.494863475,0.5071578453,0.5052604304,0.5198226325,0.5073643262,0.5063307728,0.509550849,0.5055778478,0.5067778989,0.5087402429,0.5114002454,0.5152998001,0.5042182561,0.4939952827,0.5014476249,0.497215239,0.5127592352,0.493844684,0.5134271506,0.5074805574,0.5041845642,0.4957542541,0.501373245,0.496806654,0.4912632643,0.5007127673,0.5072171841,0.5144944821,0.4977819387,0.5071310172,0.5013360068,0.5018199565,0.5031577531,0.4948059112,0.4896283702,0.5021219565,0.4999566795,0.5062450857,0.5099427528,0.5140740986,0.5066388481,0.5029136321,0.4959855866,0.4933033813,0.4994910592,0.5015237192,0.5181267783,0.5038226985,0.506521063,0.5042822406,0.5084104356,0.503771229,0.4999753752,0.5036901147,0.4956552451
AD_ICP,0.4127269155,0.4183591935,0.4037461845,0.4063019884,0.4072556821,0.4045979715,0.4087129244,0.4205382122,0.3997708315,0.4158240988,0.4135140248,0.4180445136,0.3990007858,0.4093991868,0.4161904397,0.4079928695,0.4154156385,0.4109812314,0.4092386204,0.4031167509,0.4083006207,0.4105539621,0.4042702853,0.4187572103,0.4145486299,0.4150609058,0.4176501256,0.4122247908,0.4085721605,0.3993386741,0.4164387972,0.4101576074,0.4123174132,0.4185995419,0.4139661235,0.4105893776,0.4162427153,0.4138341879,0.4042438107,0.4128039619,0.4134153433,0.4259291581,0.4157796363,0.4169386889,0.399845721,0.4010520033,0.4132395524,0.4118661191,0.4181794747,0.4189821731,0.406107158,0.4140984129,0.4141256535,0.4138634267,0.4285094393,0.4136997416,0.4140538551,0.418344895,0.4165018722,0.4077718547,0.4092830907,0.4108600096,0.4085564839,0.418271887,0.406145582,0.4167563377,0.4110725384,0.4149200529,0.4167111458,0.4016765309,0.4088132608,0.4162829243,0.4106550607,0.4091166209,0.4173113563,0.4089932651,0.4171537842,0.406935716,0.4106843886,0.4132094688,0.4081859829,0.4123770468,0.417960633,0.3993423063,0.4095653182,0.4135631717,0.4045161706,0.4090239548,0.4018213867,0.3946495143,0.4095802893,0.4107883557,0.4062814781,0.41054738,0.40688887,0.4056574634,0.4158937896,0.4138543443,0.4063829003,0.4204963061
Adj_CP,0.7233662305,0.7187456725,0.7240004166,0.7261669424,0.7259443555,0.7245297966,0.7266413559,0.7248139141,0.7210476589,0.7248303687,0.726393804,0.7260753177,0.7236914677,0.71535451,0.7203503969,0.7250539028,0.72175295,0.7258657754,0.7173678773,0.7233284189,0.7187440376,0.7241697997,0.7262544191,0.7296932512,0.7271532762,0.7259875317,0.7284630665,0.7219859584,0.7197980998,0.7267523732,0.7281614624,0.7223892027,0.7252400138,0.7271182503,0.7290298107,0.725446369,0.7249159497,0.7278068009,0.7240231901,0.721161668,0.7293654881,0.7246863324,0.7261787247,0.7260811154,0.7226412795,0.7221224506,0.7225996984,0.7260476396,0.7286070537,0.7301502526,0.7218511468,0.7259502901,0.7243534176,0.7290058312,0.7247754495,0.7237864869,0.727170992,0.7260814491,0.7272610785,0.7272157442,0.7315054064,0.7246350955,0.7269925252,0.7285650425,0.7270591531,0.7291432372,0.7275464754,0.7239549063,0.723098697,0.7246457026,0.7294406799,0.7218165733,0.7242604535,0.7223246362,0.7233029225,0.7218498388,0.7244533416,0.7278629622,0.7278092704,0.7241974586,0.723186846,0.7286424511,0.7234466701,0.7287477188,0.7222599458,0.7269430887,0.7240638697,0.7262994778,0.7277756401,0.7202556311,0.7222048586,0.7230390256,0.7261743077,0.72717823,0.72587129,0.7251909997,0.7237336384,0.7190466903,0.7247364706,0.7292414748
Ash,0.1524983692,0.1305867464,0.1382795077,0.1122872872,0.1366606506,0.1341027812,0.1442312745,0.1352302211,0.1351432077,0.1113582851,0.1290066617,0.1345030968,0.1295923584,0.1254691358,0.1199562232,0.1353476777,0.095087214,0.1341030783,0.114609994,0.1288730741,0.1370575944,0.1256485501,0.135163297,0.1304020804,0.1575725734,0.1061046616,0.1340547176,0.154422761,0.1065591879,0.1374991833,0.1266815979,0.1080643909,0.1294210845,0.1125942058,0.1320286407,0.1454307696,0.1144606597,0.1363239449,0.1244680438,0.1193507399,0.1519146086,0.1319323655,0.1223102503,0.1353672415,0.1367040353,0.1371954252,0.1549759722,0.1308819063,0.1547107101,0.1467109312,0.1495548065,0.1400979292,0.1427217687,0.1386092353,0.1288476667,0.143239757,0.1310183484,0.1462425417,0.1399997617,0.1293195161,0.1533231086,0.1349061891,0.1337823602,0.1266457899,0.1208368097,0.1340752852,0.1183285558,0.1421454498,0.1411046498,0.1337608227,0.1130536714,0.1248328896,0.1323074113,0.1118365291,0.1178989463,0.1432267228,0.1458935192,0.1439929812,0.1381919801,0.1432506895,0.145764966,0.1429289863,0.1183682885,0.1189104326,0.1352759455,0.1293349334,0.123018155,0.1315262152,0.137463482,0.1297507971,0.1534967758,0.1056727069,0.1199763823,0.1187308709,0.1334483321,0.1193064769,0.1326134305,0.1160685908,0.1443412609,0.1406313377
Cellulose,0.5018811817,0.5043230626,0.5043446558,0.5054086167,0.4855507807,0.4949791104,0.4960990273,0.495146982,0.4958762463,0.5066564083,0.5035529033,0.5112017047,0.4974165492,0.4942575944,0.4943903468,0.50950463,0.5037408142,0.5064718628,0.5087190011,0.5094712234,0.4956388978,0.5090820483,0.5075647164,0.5036740299,0.5129743759,0.5095251753,0.5032998829,0.5100144858,0.4991079538,0.5007217353,0.5012380229,0.4970026954,0.4931929639,0.5070522511,0.4943733719,0.4964589525,0.5088349108,0.502191235,0.5053578877,0.5017013298,0.5031999144,0.5049779446,0.4967687397,0.4989423419,0.49985511,0.5030669399,0.498352647,0.5032086229,0.5162161978,0.5111883178,0.4976088748,0.4952439879,0.5051134281,0.5064339262,0.5064971484,0.5113274753,0.5174031566,0.504282076,0.502191937,0.4984057552,0.5036167457,0.506158662,0.5017521516,0.5111712541,0.5073156513,0.5052580757,0.4911766259,0.5028060872,0.4999144952,0.4932424929,0.5084190143,0.5110234135,0.5104469089,0.4951066158,0.5067980158,0.4972918526,0.4992642967,0.5081955469,0.5025731889,0.5083105575,0.4994886099,0.5046560603,0.5030947417,0.5040792779,0.507111516,0.5112864452,0.5090403869,0.50399013,0.4974562683,0.497393667,0.5015687708,0.5088910804,0.5081085684,0.5054780929,0.4995961126,0.5055561145,0.4972470364,0.4977060391,0.4936501121,0.5037472847
Crude_protein,0.6817175314,0.6742093187,0.6752089712,0.679547658,0.6807806706,0.6741216338,0.6804438839,0.6791493927,0.6816379937,0.6772876285,0.6778459634,0.6691376822,0.6830309091,0.6779291762,0.6795838987,0.6799884008,0.6787713388,0.6750368877,0.6733685455,0.6710492522,0.677371054,0.6769053083,0.6790988845,0.6835437997,0.6784884319,0.6786134337,0.6751594323,0.6782344576,0.6847796787,0.6846527966,0.6787933889,0.6845112178,0.681790744,0.6783361957,0.6816828725,0.6813084914,0.6812769654,0.6794089275,0.6785445199,0.6767742463,0.6814914681,0.6826875077,0.6734986022,0.6830232391,0.674243015,0.6811720145,0.6756832872,0.6792880015,0.6862226038,0.6791148175,0.6767573053,0.6833024549,0.6769434639,0.6762604609,0.6779952692,0.681211263,0.6769307022,0.6820896012,0.6801042588,0.68851266,0.6859956263,0.6783557641,0.6760555299,0.6781426608,0.6808661307,0.6817030683,0.6807269392,0.6820898347,0.6836757627,0.6780317696,0.6799099676,0.6794546306,0.6789809428,0.6811282356,0.6764788199,0.6802245376,0.6813713066,0.6808915127,0.6852325317,0.6792270863,0.6826532246,0.6835255391,0.6766260389,0.6840713958,0.6827627471,0.6795525894,0.6801692247,0.6760007774,0.6804011946,0.6751151393,0.6833837107,0.676363829,0.6782076372,0.6799714679,0.6828275915,0.6814002368,0.6778251876,0.672536309,0.6869345702,0.6724738538
DCAD,0.1437788987,0.1261446514,0.1259198855,0.1231907787,0.1235143622,0.1296229398,0.131669708,0.1320599968,0.1259929452,0.1211658988,0.1163276729,0.1178792629,0.118884759,0.1257065755,0.1303698683,0.1303015982,0.1093216338,0.1238645016,0.1291694605,0.1353312008,0.117572552,0.1311951396,0.1263374328,0.1413044961,0.1366284918,0.1227054909,0.123308438,0.125982882,0.1253689318,0.1150831693,0.1248938279,0.1237997436,0.129374672,0.1363115034,0.1350530736,0.1442526629,0.1329475303,0.1181623325,0.1040118207,0.1155309469,0.1267090046,0.1279601341,0.1131556537,0.1331754881,0.1201847618,0.1101589514,0.1129129901,0.1236647853,0.1256476472,0.1364934261,0.1222145603,0.1364627999,0.1144257077,0.1453709215,0.1450618258,0.130122494,0.1460044061,0.1267088447,0.1220416468,0.1312191749,0.1370495469,0.1218515522,0.1457527905,0.1319618486,0.1272494029,0.1433080123,0.147027988,0.1303927823,0.1391491618,0.1159538608,0.1212248696,0.1328576121,0.1108379092,0.1141404685,0.1301276233,0.1342641405,0.1299039311,0.1181635856,0.117885174,0.1241618193,0.1297910236,0.1268259914,0.1338943968,0.1133161423,0.1236997125,0.1377906936,0.118791804,0.1171793848,0.1365189887,0.118148708,0.1280475736,0.1224592986,0.1150736242,0.1313723478,0.1338523763,0.1291953705,0.124582414,0.1308936481,0.1477144296,0.1166170405
Dry_Matter,0.2218363208,0.224835078,0.2296832832,0.2256555392,0.2242041534,0.2372329664,0.2434680687,0.2223176202,0.230189697,0.2334685204,0.2333622431,0.2308067888,0.2375348671,0.2286034901,0.2384508739,0.2240764993,0.232552606,0.2259960894,0.2317661672,0.2363641775,0.240265989,0.23414077,0.2353063091,0.2268841106,0.2441721803,0.2246116312,0.2392097857,0.2299419463,0.2365739025,0.2231566608,0.2341553913,0.2348668714,0.2230965324,0.2323939131,0.2322532601,0.2318056762,0.2412041841,0.2173624176,0.228732644,0.2289407709,0.2275834386,0.2299920231,0.2436146721,0.230063168,0.2438034543,0.2287599751,0.2256314832,0.2381908529,0.2332554963,0.2217227484,0.2250279338,0.2341054331,0.2289061755,0.2305491904,0.2281087895,0.223205985,0.2313563575,0.2331685478,0.240201318,0.2357893657,0.2247262884,0.2275399165,0.2347548657,0.2317209693,0.2226319096,0.2346302224,0.2161678785,0.2174110747,0.2357143338,0.2317988294,0.2459903893,0.2389363521,0.2243886475,0.2364053618,0.2363559425,0.2366894754,0.2261193945,0.2321720184,0.2290655943,0.2301710783,0.231741042,0.2357153929,0.225926465,0.2240670824,0.2354287529,0.2279272475,0.2432959826,0.2220487703,0.2191725127,0.2296002317,0.2312466949,0.2359558518,0.2201621942,0.2322786996,0.2360558557,0.2358843947,0.2464796579,0.2255409489,0.2470701258,0.235005338
EE_Fat,0.5921432503,0.5842183192,0.5821033263,0.5832628502,0.5863123107,0.5822216744,0.5774979203,0.5835066733,0.5801369882,0.5832517552,0.5850092108,0.577238225,0.5721517976,0.579364153,0.5803110335,0.5788130839,0.574138078,0.5840173863,0.5827324696,0.5781875686,0.5804712772,0.5877882346,0.5839214256,0.5811141769,0.582991983,0.582825048,0.580869805,0.574889651,0.5803855454,0.575964696,0.5835851283,0.5758802387,0.5733903382,0.5864804852,0.5782342981,0.5803425925,0.5771940965,0.5876602312,0.579665494,0.5809368332,0.5884260187,0.5796287505,0.579267894,0.5852742168,0.5814813408,0.5796031652,0.5851670516,0.5843499913,0.5819439626,0.5880660621,0.5852067242,0.5823865203,0.5715823864,0.5884919924,0.594612293,0.5774980773,0.589343494,0.5870141836,0.5808830384,0.5817590566,0.5833715666,0.5831905933,0.5744005988,0.5825628693,0.5846887606,0.5789244123,0.5801469089,0.5779792793,0.5816756472,0.5712702928,0.5737986486,0.5792697845,0.582782155,0.5793113348,0.5826235301,0.5830313823,0.5745658464,0.5797660959,0.584628447,0.581968305,0.574358544,0.5876160542,0.5827411839,0.5863529654,0.5758691803,0.576431155,0.5881558589,0.5815694005,0.5820142716,0.5818656668,0.5760030057,0.5848655019,0.5887685953,0.5833023779,0.5800077616,0.581058984,0.5852060047,0.5857015647,0.5832785339,0.5831659941
Hemicellulose,0.2914869926,0.3019552856,0.2952026349,0.3001789954,0.2868697914,0.2971342589,0.3003202252,0.2979328833,0.2977351548,0.2965959268,0.3009501705,0.2949293996,0.2999195369,0.2911088824,0.2995741706,0.3082900098,0.2803909227,0.3033374675,0.2903112633,0.3008636682,0.2972844012,0.307122838,0.291200964,0.3071797059,0.3036577841,0.3067077011,0.2914060293,0.3012980698,0.289255876,0.3039236327,0.2911722416,0.2930156501,0.3048024902,0.3168327116,0.2886127262,0.3047242853,0.3057427771,0.2842704838,0.297541694,0.3063959209,0.2915313389,0.296128871,0.3098873428,0.2988942064,0.2936940406,0.2943224015,0.2949232746,0.2844206185,0.3087791924,0.3012128816,0.3017148894,0.290704265,0.291141112,0.2926287008,0.2980792685,0.3021539789,0.3036965686,0.3023375452,0.3066359514,0.2993114402,0.3015134039,0.2998909283,0.3071486887,0.3058713533,0.2991760812,0.3078062269,0.2952057181,0.2935213475,0.3040784508,0.2912982808,0.3075042405,0.2999720665,0.3007756116,0.3070975319,0.2965895298,0.3042969587,0.2757151942,0.2901745,0.2967984996,0.280694526,0.3019333399,0.2975801832,0.2991960472,0.3122894552,0.3036115721,0.290976515,0.3017416213,0.2949963973,0.3008947935,0.3100496842,0.3010160685,0.300746551,0.2890986372,0.293072742,0.3001837155,0.2997707128,0.2912305852,0.291719075,0.3154874879,0.2880181463
