label,num_data_points,corr_coeff,p_value
2016_08_05-08_vegetation_index,638,0.10796622192,9.99900009999e-05
2016_09_light_interception,623,0.0560279304965,9.99900009999e-05
AD-ICP,698,0.0455703067956,0.000299970003
ADF,698,0.0447269372799,0.000599940005999
2016_07_13_laser_plant_height,745,0.0360903694389,0.000999900009999
2016_07_light_interception,482,0.0489894903852,0.000999900009999
Cellulose,698,0.0386847288795,0.001499850015
SF16h_TWT_120,698,0.0387817213905,0.002899710029
aNDFom,698,0.0381238642829,0.00299970003
2016_08_light_interception,416,0.0402325255874,0.00299970003
NEL3x OARDC,698,0.0387043560532,0.004499550045
WSC Sugar,698,0.0351004903192,0.00619938006199
Dry Matter,698,0.0334632666659,0.00889911008899
NEM OARDC,698,0.036113196535,0.00949905009499
SF16h_WTL_120,698,0.03254944922,0.011398860114
NEL3x ADF,698,-0.0341442943866,0.012498750125
NEG OARDC,698,0.0345895997095,0.012798720128
NFC,698,0.028319512997,0.015098490151
SPCP,698,0.0259671727986,0.041395860414
Starch,698,0.025280923664,0.0602939706029
SF16h_HGT3_120,698,0.0192354629068,0.0661933806619
Adj_CP,698,0.0191791114563,0.0695930406959
Crude protein,698,0.0201177261776,0.0753924607539
Ash,698,0.0260241953817,0.0779922007799
DCAD,698,0.020890056563,0.126687331267
SF16h_HGT1_120,698,0.0148226846791,0.16098390161
2016_07_13-14_vegetation_index,526,0.0174588432434,0.215078492151
SF16h_WTP_120,214,-0.0271330142576,0.238476152385
SF16h_HGT2_120,698,0.0126401288463,0.24297570243
SF16h_PAN2_120,214,0.0299131298799,0.254274572543
Hemicellulose,698,0.0117796708623,0.359464053595
EE Fat,698,0.00890493606524,0.392560743926
SF16h_PAN3_120,214,0.0215009250636,0.409659034097
SF16h_PAN1_120,214,0.0193725599068,0.452554744526
TDN OARDC,698,-0.00907087553794,0.484651534847
2016_07_13_BAP_Leaf_Area,583,0.00835304481719,0.524447555244
Lignin,698,-0.004548662664,0.747725227477
2016_07_13-14_Leaf_Necrosis,674,0.00252519056106,0.800019998
