label,num_data_points,corr_coeff,p_value,avg_data_value,avg_adjacent_data_distance,avg_nonadjacent_data_distance
ADF,698,0.0914515541,0.00009999,37.1872922636,4.9788431232,5.0634576709
aNDFom,698,0.0873676813,0.00009999,62.6129942693,5.9088484957,6.0373648118
NFC,698,0.0877173609,0.00009999,25.1992120344,7.0935816619,7.2585115466
SPCP,698,0.0675675429,0.00009999,58.3668767908,39.7987768625,40.6285084899
WSC Sugar,698,0.0916212777,0.00009999,16.4233667622,6.279015043,6.4246320401
Cellulose,698,0.0806688941,0.00009999,32.028782235,4.9840777221,5.0916652389
2016_07_13_laser_plant_height,745,0.0704166314,0.00009999,0.3867733758,0.1603248081,0.1676511766
2016_08_05-08_vegetation_index,638,0.0623430188,0.00019998,0.0699878762,0.0156302964,0.0157307056
2016_09_light_interception,623,0.050816186,0.00029997,31.6158120385,17.421304073,18.2416865093
NEL3x OARDC,698,0.0559009431,0.00139986,60.8037535817,3.222754298,3.2592293137
2016_07_light_interception,482,0.0603382881,0.00139986,10.91116,7.7182274378,7.8271897128
AD-ICP,698,0.0442147262,0.00219978,0.616504298,0.1087893983,0.1082124336
NEL3x ADF,698,-0.0488328991,0.00429957,71.9309312321,6.3331321633,6.3628892211
SF16h_HGT1_120,698,0.0329676578,0.0088991101,149.091690544,69.136282235,70.128779719
TDN OARDC,698,-0.0369825925,0.0168983102,65.7441690544,4.8354172636,4.8705578244
SF16h_HGT3_120,698,0.0300356747,0.0179982002,148.742120344,69.7097063037,70.8939412212
SF16h_WTL_120,698,0.0354277689,0.0208979102,0.7621776504,0.4694323066,0.4672922844
SF16h_HGT2_120,698,0.0295351091,0.0232976702,149.206303725,69.5406518625,70.7663966298
NEM OARDC,698,0.0295179302,0.0729927007,57.5344985673,4.9809491404,5.0005373429
SF16h_TWT_120,698,0.0260847312,0.0869913009,0.9245988539,0.5373495702,0.5330666096
SF16h_PAN3_120,214,-0.0419048627,0.102889711,20.5747663551,7.4772196262,7.6377706861
Lignin,698,-0.0268420632,0.1118888111,5.1585100287,1.2252489255,1.2348379155
NEG OARDC,698,0.0253561304,0.1261873813,32.9047277937,4.3271722779,4.3646495898
Crude protein,698,0.0201783093,0.1367863214,8.0260601719,3.081525788,3.1165794869
EE Fat,698,0.0180347875,0.1517848215,0.9453868195,0.1052972779,0.1066024636
Hemicellulose,698,0.022767523,0.1526847315,27.4158452722,1.8138305874,1.8364057789
SF16h_PAN1_120,214,-0.0357824922,0.1608839116,21.3878504673,7.7587616822,8.029792569
Dry Matter,698,0.0208162254,0.1700829917,91.7597707736,0.8364684814,0.8338004084
DCAD,698,-0.0175827698,0.2921707829,18.6753724928,9.4222636103,9.5334619543
Starch,698,0.0155978116,0.3362663734,0.6245558739,0.3866332378,0.3907247537
SF16h_PAN2_120,214,-0.0228445856,0.3831616838,21.0140186916,7.370911215,7.571529519
Adj_CP,698,0.0108599586,0.4049595041,9.7874498567,3.4990669771,3.5728567834
2016_08_light_interception,416,-0.0140930059,0.4184581542,29.8999670673,22.4933174459,22.845932439
2016_07_13-14_vegetation_index,526,0.0132340328,0.4455554445,0.0507660513,0.0199165687,0.0200626718
2016_07_13-14_Leaf_Necrosis,674,-0.0097762505,0.4472552745,0.4771984111,0.3164790191,0.3158753128
Ash,698,-0.0111194987,0.5423457654,2.6869054441,0.9629512894,0.9710545785
SF16h_WTP_120,214,0.0053536844,0.8220177982,0.7161682243,0.5410630841,0.5322694324
2016_07_13_BAP_Leaf_Area,583,0.0028509972,0.8646135386,0.243789552,0.1058974669,0.1047913496
