label,num_data_points,corr_coeff,p_value
2016_08_05-08_vegetation_index,638,0.0960803079595,9.99900009999e-05
2016_08_light_interception,416,0.047741834942,0.000199980002
2016_09_light_interception,623,0.0365411632631,0.001499850015
2016_07_light_interception,482,0.031266695612,0.041495850415
SF16h_TWT_120,698,0.0238846804669,0.0588941105889
SF16h_PAN3_120,214,0.053073242548,0.0742925707429
SF16h_PAN2_120,214,0.0514838532926,0.0886911308869
SF16h_PAN1_120,214,0.048350144266,0.0962903709629
SF16h_WTP_120,214,-0.03518210598,0.180181981802
2016_07_13_laser_plant_height,745,0.013093615355,0.246375362464
SF16h_WTL_120,698,0.013220201874,0.298470152985
2016_07_13-14_vegetation_index,526,0.0103703983188,0.473252674733
SF16h_HGT2_120,698,-0.0053568275681,0.615738426157
SF16h_HGT1_120,698,-0.00476985849087,0.643535646435
2016_07_13-14_Leaf_Necrosis,674,0.00457303017836,0.66303369663
2016_07_13_BAP_Leaf_Area,583,0.00217558111502,0.868813118688
SF16h_HGT3_120,698,0.00101285016553,0.916908309169
