label,num_data_points,corr_coeff,p_value
2016_08_05-08_vegetation_index,638,0.105992780732,9.99900009999e-05
2016_08_light_interception,416,0.0448147879856,0.001299870013
Ash,698,0.041613972781,0.003499650035
2016_09_light_interception,623,0.0306582837602,0.004299570043
2016_07_light_interception,482,0.0393379064596,0.00869913008699
DCAD,698,0.0323587796451,0.015198480152
AD-ICP,698,0.0261730657419,0.018798120188
NEL3x ADF,698,-0.0279165384132,0.03499650035
2016_07_13_laser_plant_height,745,0.0225341587774,0.036496350365
Dry Matter,698,0.0223377578127,0.0674932506749
SF16h_PAN3_120,214,0.0488758640335,0.0790920907909
SF16h_PAN1_120,214,0.0481994081384,0.0811918808119
SF16h_PAN2_120,214,0.0469060065842,0.0997900209979
SF16h_TWT_120,698,0.0180608561303,0.142785721428
NEM OARDC,698,0.0164162881587,0.211778822118
Adj_CP,698,0.0124484946693,0.226777322268
NEG OARDC,698,0.0136163632514,0.307869213079
SF16h_WTP_120,214,-0.0227204124324,0.358864113589
Crude protein,698,0.00992468276537,0.363363663634
Starch,698,0.0100396637804,0.43695630437
NFC,698,-0.00885150442674,0.442655734427
SF16h_WTL_120,698,0.00922437114897,0.459354064594
SF16h_HGT2_120,698,-0.00751657112543,0.466353364664
WSC Sugar,698,-0.00931718602201,0.467153284672
aNDFom,698,-0.00855545963834,0.491750824918
SF16h_HGT1_120,698,-0.00692255083762,0.496850314969
NEL3x OARDC,698,0.00688355150658,0.594440555944
SPCP,698,-0.00424892762899,0.718828117188
Lignin,698,0.00485605302279,0.722727727227
2016_07_13-14_vegetation_index,526,0.00464622414865,0.740625937406
2016_07_13_BAP_Leaf_Area,583,-0.00421593880429,0.741925807419
EE Fat,698,-0.0033990458588,0.742125787421
SF16h_HGT3_120,698,-0.00321107944373,0.747525247475
Hemicellulose,698,0.00324006137555,0.796620337966
TDN OARDC,698,-0.00281970314853,0.826717328267
ADF,698,-0.00202334558896,0.872312768723
2016_07_13-14_Leaf_Necrosis,674,0.00118825863386,0.905909409059
Cellulose,698,-0.000554415617323,0.964603539646
