label,num_data_points,corr_coeff,p_value,avg_data_value,avg_adjacent_data_distance,avg_nonadjacent_data_distance
SF16h_HGT1_120,698,0.0811192944,0.00009999,149.091690544,54.5068051576,70.2987885769
SF16h_HGT2_120,698,0.0747996432,0.00009999,149.206303725,55.4126074499,70.9306207659
SF16h_HGT3_120,698,0.0828777613,0.00009999,148.742120344,55.0786174785,71.0639500792
SF16h_TWT_120,698,0.0730883572,0.00009999,0.9245988539,0.4362553725,0.5342410828
SF16h_WTL_120,698,0.0787762952,0.00009999,0.7621776504,0.3840544413,0.4682841708
ADF,698,0.1518906141,0.00009999,37.1872922636,4.4616583095,5.0694751332
AD-ICP,698,0.069565102,0.00009999,0.616504298,0.1002811605,0.108311431
aNDFom,698,0.1506573186,0.00009999,62.6129942693,5.3360834527,6.0440342717
Crude protein,698,0.0538525781,0.00009999,8.0260601719,2.4680282951,3.1237088551
EE Fat,698,0.0471373032,0.00009999,0.9453868195,0.0921955587,0.1067549
NEG OARDC,698,0.0698591531,0.00009999,32.9047277937,3.952129298,4.3690097563
NEL3x OARDC,698,0.1036943072,0.00009999,60.8037535817,2.9499229943,3.2624015329
NFC,698,0.1230626896,0.00009999,25.1992120344,6.2600017908,7.268216322
SPCP,698,0.1134442386,0.00009999,58.3668767908,32.7603313037,40.7102358179
WSC Sugar,698,0.1478908465,0.00009999,16.4233667622,5.390911533,6.4349640274
Cellulose,698,0.128988881,0.00009999,32.028782235,4.5262589542,5.0969950013
2016_07_13_BAP_Leaf_Area,583,0.0625394411,0.00009999,0.243789552,0.0892981721,0.1050226986
2016_07_13_laser_plant_height,745,0.0485267023,0.00009999,0.3867733758,0.1441290364,0.1678276265
2016_09_light_interception,623,0.0902940647,0.00009999,31.6158120385,14.0521450843,18.2855843463
NEM OARDC,698,0.066522322,0.00019998,57.5344985673,4.5696346705,5.0053175359
Adj_CP,698,0.0405740419,0.00029997,9.7874498567,2.8278671203,3.5806642865
Starch,698,0.0516116379,0.00039996,0.6245558739,0.3695952722,0.3909231435
2016_07_light_interception,482,0.056044291,0.0009999,10.91116,5.9008192635,7.8579706652
2016_07_13-14_vegetation_index,526,0.0427453951,0.00209979,0.0507660513,0.018287236,0.0200878839
Dry Matter,698,0.037477723,0.00329967,91.7597707736,0.8000429799,0.8342242609
Ash,698,-0.0438372634,0.00409959,2.6869054441,0.9181643983,0.9715758689
2016_08_05-08_vegetation_index,638,0.0305500928,0.0142985701,0.0699878762,0.013137115,0.0157624816
DCAD,698,-0.0331068699,0.0216978302,18.6753724928,9.2419108166,9.5355724837
SF16h_PAN3_120,214,-0.0300394672,0.0225977402,20.5747663551,7.5952102804,7.6331661728
SF16h_PAN1_120,214,-0.0280200224,0.0337966203,21.3878504673,7.9123831776,8.0237975838
Hemicellulose,698,0.0282873064,0.0359964004,27.4158452722,1.7310225645,1.8373739816
Lignin,698,-0.0241333997,0.095190481,5.1585100287,1.1339416189,1.2358996885
NEL3x ADF,698,-0.0228610143,0.1053894611,71.9309312321,6.0200017908,6.3665445332
TDN OARDC,698,-0.0175176798,0.1937806219,65.7441690544,4.6030050143,4.8732651033
SF16h_WTP_120,214,-0.0151552817,0.199980002,0.7161682243,0.4447546729,0.5360278094
SF16h_PAN2_120,214,-0.0117064871,0.3829617038,21.0140186916,7.4982476636,7.5665602918
2016_07_13-14_Leaf_Necrosis,674,0.0075752338,0.4777522248,0.4771984111,0.2846564508,0.3162581406
2016_08_light_interception,416,-0.0075979623,0.599640036,29.8999670673,16.1723220793,22.9703698308
