label,num_data_points,corr_coeff,p_value,avg_data_value,avg_adjacent_data_distance,avg_nonadjacent_data_distance
SF16h_HGT1_120,698,0.0873843835,0.00009999,149.091690544,54.3393624642,70.2282677856
SF16h_HGT2_120,698,0.0808265617,0.00009999,149.206303725,55.6156876791,70.8558622812
SF16h_HGT3_120,698,0.0877628066,0.00009999,148.742120344,55.8664040115,70.9737400244
SF16h_TWT_120,698,0.0710690203,0.00009999,0.9245988539,0.4696525788,0.5331561875
SF16h_WTL_120,698,0.0781696311,0.00009999,0.7621776504,0.4111801576,0.4673586985
ADF,698,0.151617735,0.00009999,37.1872922636,4.4304996418,5.0635523848
AD-ICP,698,0.0644112245,0.00009999,0.616504298,0.0955014327,0.1082208341
Adj_CP,698,0.0454389394,0.00009999,9.7874498567,2.6641439828,3.5789435085
aNDFom,698,0.1515029575,0.00009999,62.6129942693,5.4029817335,6.0357655503
Crude protein,698,0.0595625515,0.00009999,8.0260601719,2.3559258596,3.1217658789
EE Fat,698,0.0516655213,0.00009999,0.9453868195,0.0868033668,0.1067029789
NEG OARDC,698,0.0654216417,0.00009999,32.9047277937,3.9357539398,4.3635240018
NEL3x OARDC,698,0.1004306166,0.00009999,60.8037535817,2.9180963467,3.2583271508
NFC,698,0.1267605445,0.00009999,25.1992120344,6.0874946275,7.2616829964
SPCP,698,0.1198609476,0.00009999,58.3668767908,31.6618893266,40.6737259888
WSC Sugar,698,0.1516690394,0.00009999,16.4233667622,5.3040060888,6.4288919825
Cellulose,698,0.1295516943,0.00009999,32.028782235,4.3935637536,5.0926204041
2016_07_13_BAP_Leaf_Area,583,0.0688719189,0.00009999,0.243789552,0.08394924,0.1049286515
2016_07_13_laser_plant_height,745,0.0431896948,0.00009999,0.3867733758,0.1548571409,0.1674685682
2016_09_light_interception,623,0.0837886413,0.00009999,31.6158120385,16.8926969302,18.2240817271
NEM OARDC,698,0.0617770541,0.00019998,57.5344985673,4.5226253582,4.9992873273
Ash,698,-0.0514683511,0.00049995,2.6869054441,0.8767012894,0.9708791031
Starch,698,0.0484352193,0.00089991,0.6245558739,0.3814577364,0.3902616641
2016_07_13-14_vegetation_index,526,0.0421476368,0.00149985,0.0507660513,0.0182408717,0.0200412217
2016_07_light_interception,482,0.053496796,0.00219978,10.91116,6.7976522666,7.8303216699
DCAD,698,-0.0389733306,0.0054994501,18.6753724928,8.6371704871,9.5301770557
Dry Matter,698,0.0314156763,0.0132986701,91.7597707736,0.838390043,0.8325292875
SF16h_PAN3_120,214,-0.0305854829,0.0188981102,20.5747663551,7.2920560748,7.6194666059
SF16h_PAN1_120,214,-0.0268204821,0.0320967903,21.3878504673,7.7669392523,7.9952131297
Hemicellulose,698,0.0274128971,0.0383961604,27.4158452722,1.8135368911,1.8340272435
Lignin,698,-0.0233180957,0.098790121,5.1585100287,1.1038592407,1.2346759558
TDN OARDC,698,-0.016121001,0.2236776322,65.7441690544,4.5330802292,4.8677849215
NEL3x ADF,698,-0.0165511054,0.2336766323,71.9309312321,5.7821830229,6.3617955718
2016_08_05-08_vegetation_index,638,0.0125872339,0.2818718128,0.0699878762,0.0130813288,0.0157258609
SF16h_PAN2_120,214,-0.0123946152,0.3356664334,21.0140186916,7.0414719626,7.5523820378
2016_07_13-14_Leaf_Necrosis,674,0.0093712214,0.3605639436,0.4771984111,0.26278785,0.3159956023
2016_08_light_interception,416,-0.0121935472,0.3783621638,29.8999670673,19.1600564904,22.8682313656
SF16h_WTP_120,214,-0.0091270941,0.4210578942,0.7161682243,0.4015654206,0.5360284933
